,Category,Price Bracket,Summary Category,Table,Table Type,Sales 2019,Sales 2020,Profit 2019,Profit 2020,Restaurant,Month,Margin 2019,Margin 2020,Sales Year Change,Profit Year Change,Margin Year Change,Sales % Change,Profit % Change,Margin % Change,Sales Colour,Profit Colour,Margin Colour,Drink Colour Column,Drink Colour
46,,£10-£15,,Sparkling Wine,Price Bracket,137.5,430.53,99.52,314.98,Avenue,January,72.37818181818182,73.16098761991036,293.03,215.46000000000004,0.7828058017285429,213.11272727272726,216.49919614147913,1.0815494145666664,lime,lime,lime,Sparkling,Yellow
47,,£15-£20,,Sparkling Wine,Price Bracket,60.0,50.0,36.93,30.15,Avenue,January,61.550000000000004,60.3,-10.0,-6.780000000000001,-1.250000000000007,-16.666666666666664,-18.359057676685627,-2.030869212022757,Red,Red,Red,Sparkling,Yellow
48,,£20+,,Sparkling Wine,Price Bracket,4975.29,1965.79,3245.08,1088.42,Avenue,January,65.22393669514742,55.368070851922134,-3009.5,-2156.66,-9.855865843225281,-60.488936323309794,-66.45937850530649,-15.110811065101725,Red,Red,Red,Sparkling,Yellow
49,,<£6,,Rose Wine,Price Bracket,0.0,1139.17,0.0,683.56,Avenue,January,0.0,60.005091426213816,1139.17,683.56,60.005091426213816,100.0,100.0,100.0,lime,lime,lime,Rose,Pink
50,,£6-£10,,Rose Wine,Price Bracket,145.0,23.75,119.07,18.82,Avenue,January,82.11724137931033,79.2421052631579,-121.25,-100.25,-2.875136116152433,-83.62068965517241,-84.19417149575881,-3.50125755305369,Red,Red,Red,Rose,Pink
51,,£10-£15,,Rose Wine,Price Bracket,0.0,210.0,0.0,160.53,Avenue,January,0.0,76.44285714285715,210.0,160.53,76.44285714285715,100.0,100.0,100.0,lime,lime,lime,Rose,Pink
52,,£6-£10,,Fortified Wine,Price Bracket,25.0,0.0,19.32,0.0,Avenue,January,77.28,0.0,-25.0,-19.32,-77.28,-100.0,-100.0,-100.0,Red,Red,Red,Fortified,Orange
53,,£15-£20,,Fortified Wine,Price Bracket,0.0,12.5,0.0,9.74,Avenue,January,0.0,77.92,12.5,9.74,77.92,100.0,100.0,100.0,lime,lime,lime,Fortified,Orange
54,,£20+,,Fortified Wine,Price Bracket,25.0,90.0,18.6,63.34,Avenue,January,74.4,70.37777777777778,65.0,44.74,-4.022222222222226,260.0,240.53763440860214,-5.406212664277184,lime,lime,Red,Fortified,Orange
55,,£10-£15,,Sweet Wine,Price Bracket,50.0,20.83,37.85,14.51,Avenue,January,75.7,69.65914546327413,-29.17,-23.340000000000003,-6.040854536725874,-58.34,-61.664464993394986,-7.979992782993229,Red,Red,Red,Sweet,Orange
56,,£15-£20,,Sweet Wine,Price Bracket,137.33,0.0,103.26,0.0,Avenue,January,75.19114541615087,0.0,-137.33,-103.26,-75.19114541615087,-100.0,-100.0,-100.0,Red,Red,Red,Sweet,Orange
57,,£20+,,Sweet Wine,Price Bracket,0.0,13.33,0.0,8.84,Avenue,January,0.0,66.31657914478619,13.33,8.84,66.31657914478619,100.0,100.0,100.0,lime,lime,lime,Sweet,Orange
58,,£6-£10,,Spirits,Price Bracket,164.35999999999999,60.13999999999999,125.61999999999998,45.76,Avenue,January,76.42978826965198,76.08912537412704,-104.22,-79.85999999999999,-0.3406628955249431,-63.40958870771478,-63.57267950963222,-0.44572005658716485,Red,Red,Red,Spirits,Grey
59,,£10-£15,,Spirits,Price Bracket,1490.0100000000002,1049.2900000000002,1242.06,831.7700000000001,Avenue,January,83.35917208609337,79.26979195455974,-440.72,-410.28999999999985,-4.0893801315336304,-29.578324977684712,-33.033025779752975,-4.905735060936207,Red,Red,Red,Spirits,Grey
60,,£15-£20,,Spirits,Price Bracket,1690.49,1355.53,1367.39,1002.1600000000001,Avenue,January,80.88719838626672,73.93122985105458,-334.96000000000004,-365.23,-6.955968535212136,-19.81437334737266,-26.710009580295306,-8.599591374143998,Red,Red,Red,Spirits,Grey
61,,£20+,,Spirits,Price Bracket,2037.0600000000006,2146.9099999999994,1557.0900000000001,1651.2300000000005,Avenue,January,76.43810197048685,76.91193389569199,109.84999999999877,94.14000000000033,0.4738319252051326,5.392575574602552,6.045893300965282,0.6198897055137261,lime,lime,lime,Spirits,Grey
62,,<£6,,Beer,Price Bracket,2817.15,1663.7400000000002,2170.1000000000004,1274.77,Avenue,January,77.03175194789061,76.62074603002871,-1153.4099999999999,-895.3300000000004,-0.41100591786189966,-40.94244182950854,-41.25754573521959,-0.5335539014352566,Red,Red,Red,Beer,Brown
63,,<£6,,Soft Drinks,Price Bracket,4563.1900000000005,3723.58,3768.8300000000004,3120.7200000000003,Avenue,January,82.59200252454971,83.80966704085854,-839.6100000000006,-648.1100000000001,1.2176645163088295,-18.399628330181308,-17.196583555108617,1.474312862128376,Red,Red,lime,Soft drinks,Brown
64,,£6-£10,,Soft Drinks,Price Bracket,52.25,84.30999999999999,40.11,64.77000000000001,Avenue,January,76.76555023923444,76.82362709049937,32.05999999999999,24.66000000000001,0.058076851264928564,61.35885167464112,61.480927449513864,0.0756548361653582,lime,lime,lime,Soft drinks,Brown
65,,£10-£15,,Soft Drinks,Price Bracket,1.23,1.21,1.15,1.14,Avenue,January,93.4959349593496,94.21487603305785,-0.020000000000000018,-0.010000000000000009,0.7189410737082511,-1.6260162601626031,-0.8695652173913052,0.7689543657923033,Red,Red,lime,Soft drinks,Brown
0,,,Beverage,Summary,Summary,9745.530000000002,8735.62,7705.609999999996,6776.119999999999,Blueprint Café,January,79.06814714027861,77.56885029339644,-1009.9100000000017,-929.489999999997,-1.4992968468821743,-10.362802228303657,-12.062510300936559,-1.8962083988413179,Red,Red,Red,Beverage,Black
1,,,Wine,Summary,Summary,6903.89,6398.21,5398.949999999998,4893.530000000001,Blueprint Café,January,78.20156462516057,76.48279753243486,-505.6800000000003,-505.41999999999734,-1.718767092725713,-7.32456629523356,-9.36144991155683,-2.1978679083522032,Red,Red,Red,Wine,Purple
2,,,Spirits,Summary,Summary,956.7299999999999,654.32,757.0599999999998,510.7300000000001,Blueprint Café,January,79.12995306930898,78.05508008313976,-302.40999999999985,-246.32999999999976,-1.0748729861692254,-31.608708831122666,-32.537711674107705,-1.3583642406912046,Red,Red,Red,Spirits,Grey
3,,,Beer,Summary,Summary,516.25,528.3299999999999,384.94,393.31,Blueprint Café,January,74.56464891041162,74.44400280127952,12.079999999999927,8.370000000000005,-0.12064610913209606,2.3399515738498646,2.174364836078351,-0.16180068020846,lime,lime,Red,Beer,Brown
4,,,Soft Drinks,Summary,Summary,1368.6599999999999,1154.7599999999998,1164.6599999999999,978.55,Blueprint Café,January,85.0949103502696,84.74055214936438,-213.9000000000001,-186.1099999999999,-0.3543582009052244,-15.628424882732023,-15.97977092026857,-0.41642702183550945,Red,Red,Red,Soft drinks,Brown
5,White Wine,,,Wine,Category,2637.8300000000004,2496.26,2059.66,1928.73,Blueprint Café,January,78.08160495558847,77.26478812303205,-141.57000000000016,-130.92999999999984,-0.8168168325564267,-5.366911438568829,-6.356874435586449,-1.046106612461435,Red,Red,Red,White,Gold
6,Red Wine,,,Wine,Category,2807.08,2727.09,2229.58,2124.4700000000003,Blueprint Café,January,79.42702024879947,77.90245279767079,-79.98999999999978,-105.10999999999967,-1.524567451128675,-2.849580346837275,-4.714340817553067,-1.9194569383983895,Red,Red,Red,Red,Red
7,Sparkling Wine,,,Wine,Category,1230.6499999999999,1043.2,931.58,741.03,Blueprint Café,January,75.69820826392558,71.03431748466257,-187.44999999999982,-190.55000000000007,-4.6638907792630135,-15.231788079470185,-20.4544966615857,-6.161164030464401,Red,Red,Red,Sparkling,Yellow
8,Rose Wine,,,Wine,Category,144.16000000000003,83.33,112.37,66.01,Blueprint Café,January,77.94811320754715,79.21516860674429,-60.83000000000003,-46.36,1.2670553991971332,-42.19617092119868,-41.256563139628014,1.6255113139473059,Red,Red,lime,Rose,Pink
9,Sweet Wine,,,Wine,Category,52.5,23.33,40.87,13.83,Blueprint Café,January,77.84761904761905,59.279897128161174,-29.17,-27.04,-18.567721919457874,-55.56190476190477,-66.16099828725227,-23.851367770284764,Red,Red,Red,Sweet,Orange
10,Fortified Wine,,,Wine,Category,31.67,25.0,24.89,19.46,Blueprint Café,January,78.59172718661193,77.84,-6.670000000000002,-5.43,-0.7517271866119302,-21.060940953583838,-21.81599035757332,-0.9564965849738782,Red,Red,Red,Fortified,Orange
11,Vodka,,,Spirits,Category,128.16,90.97999999999999,99.51,69.75999999999999,Blueprint Café,January,77.64513108614233,76.67619256979556,-37.18000000000001,-29.750000000000014,-0.9689385163467676,-29.010611735330844,-29.896492814792495,-1.247906343633823,Red,Red,Red,Spirits,Grey
12,Gin,,,Spirits,Category,422.31,362.15000000000003,332.53,282.16,Blueprint Café,January,78.7407354786768,77.91246720971972,-60.15999999999997,-50.36999999999995,-0.8282682689570748,-14.245459496578336,-15.147505488226612,-1.0518929800717598,Red,Red,Red,Spirits,Grey
13,Whiskey,,,Spirits,Category,116.02,41.67,90.19,31.96,Blueprint Café,January,77.73659713842441,76.69786417086632,-74.35,-58.23,-1.03873296755809,-64.08377865885193,-64.56369885796651,-1.3362212983267503,Red,Red,Red,Spirits,Grey
14,Rum,,,Spirits,Category,68.68,34.3,56.480000000000004,28.77,Blueprint Café,January,82.23645894001164,83.87755102040816,-34.38000000000001,-27.710000000000004,1.6410920803965183,-50.058241118229475,-49.06161473087819,1.9955772677342931,Red,Red,lime,Spirits,Grey
15,Tequila,,,Spirits,Category,56.67,0.0,48.36,0.0,Blueprint Café,January,85.3361566966649,0.0,-56.67,-48.36,-85.3361566966649,-100.0,-100.0,-100.0,Red,Red,Red,Spirits,Grey
16,Liqueurs,,,Spirits,Category,76.47,37.14,63.25999999999999,30.529999999999994,Blueprint Café,January,82.72525173270563,82.20247711362411,-39.33,-32.73,-0.5227746190815168,-51.4319340918007,-51.73885551691433,-0.6319408017888648,Red,Red,Red,Spirits,Grey
17,Aperitif/Mart,,,Spirits,Category,30.28,26.200000000000003,23.3,22.35,Blueprint Café,January,76.94848084544253,85.30534351145039,-4.079999999999998,-0.9499999999999993,8.356862666007856,-13.474240422721262,-4.077253218884117,10.86033482947287,Red,Red,lime,Spirits,Grey
18,Digestif,,,Spirits,Category,57.5,61.88,42.92,45.2,Blueprint Café,January,74.64347826086957,73.04460245636717,4.380000000000003,2.280000000000001,-1.5988758045023985,7.61739130434783,5.312208760484625,-2.142016746479215,lime,lime,Red,Spirits,Grey
19,Other,,,Spirits,Category,0.64,0.0,0.51,0.0,Blueprint Café,January,79.6875,0.0,-0.64,-0.51,-79.6875,-100.0,-100.0,-100.0,Red,Red,Red,Spirits,Grey
20,Bottled,,,Beer,Category,445.00000000000006,394.17,330.87,294.66999999999996,Blueprint Café,January,74.35280898876404,74.75708450668492,-50.83000000000004,-36.200000000000045,0.4042755179208797,-11.422471910112368,-10.940852902952836,0.5437259512037703,Red,Red,lime,Beer,Brown
21,Cans,,,Beer,Category,20.83,70.83,16.17,51.44,Blueprint Café,January,77.62842054728758,72.62459409854581,50.0,35.269999999999996,-5.003826448741762,240.0384061449832,218.11997526283236,-6.4458691977298015,lime,lime,Red,Beer,Brown
22,Ale,,,Beer,Category,0.0,8.33,0.0,6.14,Blueprint Café,January,0.0,73.7094837935174,8.33,6.14,73.7094837935174,100.0,100.0,100.0,lime,lime,lime,Beer,Brown
23,Cider Bottled,,,Beer,Category,50.42,55.0,37.9,41.06,Blueprint Café,January,75.16858389527965,74.65454545454546,4.579999999999998,3.1600000000000037,-0.5140384407341969,9.083696945656481,8.337730870712411,-0.6838474454305595,lime,lime,Red,Beer,Brown
24,Water,,,Soft Drinks,Category,740.21,697.71,648.78,608.24,Blueprint Café,January,87.64809986355223,87.17662065901305,-42.5,-40.539999999999964,-0.4714792045391789,-5.7416138663352285,-6.248651314775419,-0.537922904516085,Red,Red,Red,Soft drinks,Brown
25,Sodas,,,Soft Drinks,Category,393.92,294.78999999999996,316.52,230.37000000000003,Blueprint Café,January,80.35134037367993,78.14715560229318,-99.13000000000005,-86.14999999999995,-2.2041847713867497,-25.165008123476863,-27.217869328952343,-2.7431835749547218,Red,Red,Red,Soft drinks,Brown
26,Juice,,,Soft Drinks,Category,159.07999999999998,130.16,134.7,112.26,Blueprint Café,January,84.67437767161177,86.24769514443761,-28.919999999999987,-22.439999999999984,1.573317472825849,-18.17953231078702,-16.65924276169264,1.8580797592957392,Red,Red,lime,Soft drinks,Brown
27,Syrups,,,Soft Drinks,Category,1.17,1.08,0.96,0.91,Blueprint Café,January,82.05128205128204,84.25925925925925,-0.08999999999999986,-0.04999999999999993,2.2079772079772084,-7.69230769230768,-5.208333333333327,2.690972222222223,Red,Red,lime,Soft drinks,Brown
28,Cordials,,,Soft Drinks,Category,74.28,31.02,63.7,26.77,Blueprint Café,January,85.75659666128163,86.29916183107672,-43.260000000000005,-36.93000000000001,0.5425651697950826,-58.23909531502424,-57.97488226059655,0.6326803895192894,Red,Red,lime,Soft drinks,Brown
29,,<£6,,Wine,Price Bracket,3908.23,3171.26,3108.16,2505.38,Blueprint Café,January,79.52858455106275,79.00266770936473,-736.9699999999998,-602.7799999999997,-0.5259168416980202,-18.856873827794164,-19.393467517759696,-0.6612928479323631,Red,Red,Red,Wine,Purple
30,,£6-£10,,Wine,Price Bracket,2742.7400000000002,2098.2,2106.91,1606.08,Blueprint Café,January,76.81770783960565,76.5456105233057,-644.5400000000004,-500.8299999999999,-0.2720973162999485,-23.499857806427162,-23.770830268022838,-0.3542117097116254,Red,Red,Red,Wine,Purple
31,,£10-£15,,Wine,Price Bracket,231.25,515.42,170.43,374.73,Blueprint Café,January,73.69945945945946,72.70381436498391,284.16999999999996,204.3,-0.9956450944755488,122.8843243243243,119.87326174969195,-1.3509530487441805,lime,lime,Red,Wine,Purple
32,,£15-£20,,Wine,Price Bracket,0.0,293.33,0.0,215.26,Blueprint Café,January,0.0,73.38492482869124,293.33,215.26,73.38492482869124,100.0,100.0,100.0,lime,lime,lime,Wine,Purple
33,,£20+,,Wine,Price Bracket,21.67,320.0,13.45,192.07999999999998,Blueprint Café,January,62.06737425011536,60.02499999999999,298.33,178.63,-2.0423742501153654,1376.6958929395475,1328.104089219331,-3.290576208178437,lime,lime,Red,Wine,Purple
34,,<£6,,White Wine,Price Bracket,1708.65,1458.7600000000002,1347.33,1150.29,Blueprint Café,January,78.8534808181898,78.85395815624227,-249.88999999999987,-197.03999999999996,0.000477338052476739,-14.62499634214145,-14.624479526173987,0.0006053481057828298,Red,Red,lime,White,Gold
35,,£6-£10,,White Wine,Price Bracket,929.18,744.1700000000001,712.33,563.18,Blueprint Café,January,76.66221830000647,75.67894432723705,-185.00999999999988,-149.1500000000001,-0.9832739727694246,-19.91110441464516,-20.938329145199567,-1.2826056883998902,Red,Red,Red,White,Gold
36,,£15-£20,,White Wine,Price Bracket,0.0,293.33,0.0,215.26,Blueprint Café,January,0.0,73.38492482869124,293.33,215.26,73.38492482869124,100.0,100.0,100.0,lime,lime,lime,White,Gold
37,,<£6,,Red Wine,Price Bracket,2041.25,1624.17,1637.1,1285.1800000000003,Blueprint Café,January,80.20085731781997,79.12841636035638,-417.0799999999999,-351.9199999999996,-1.0724409574635843,-20.4325780771586,-21.49654877527333,-1.3371938821223757,Red,Red,Red,Red,Red
38,,£6-£10,,Red Wine,Price Bracket,570.0,693.75,446.91999999999996,536.96,Blueprint Café,January,78.40701754385965,77.39963963963964,123.75,90.04000000000008,-1.0073779042200073,21.710526315789476,20.146782421909982,-1.284805793890191,lime,lime,Red,Red,Red
39,,£10-£15,,Red Wine,Price Bracket,195.83,409.16999999999996,145.56,302.33,Blueprint Café,January,74.3297758259715,73.88860375882885,213.33999999999995,156.76999999999998,-0.4411720671426451,108.94142879027724,107.70129156361637,-0.5935334288852996,lime,lime,Red,Red,Red
40,,£6-£10,,Sparkling Wine,Price Bracket,1173.56,616.95,893.26,476.55,Blueprint Café,January,76.11540952316031,77.24288840262582,-556.6099999999999,-416.71,1.1274788794655137,-47.42918981560379,-46.65047130734612,1.4812754559540875,Red,Red,lime,Sparkling,Yellow
41,,£10-£15,,Sparkling Wine,Price Bracket,35.42,106.25,24.87,72.4,Blueprint Café,January,70.214568040655,68.14117647058823,70.83,47.53,-2.073391570066761,199.9717673630717,191.113791716928,-2.9529364459897334,lime,lime,Red,Sparkling,Yellow
42,,£20+,,Sparkling Wine,Price Bracket,21.67,320.0,13.45,192.07999999999998,Blueprint Café,January,62.06737425011536,60.02499999999999,298.33,178.63,-2.0423742501153654,1376.6958929395475,1328.104089219331,-3.290576208178437,lime,lime,Red,Sparkling,Yellow
43,,<£6,,Rose Wine,Price Bracket,133.33,83.33,104.06,66.01,Blueprint Café,January,78.04695117377935,79.21516860674429,-50.000000000000014,-38.05,1.168217432964937,-37.5009375234381,-36.56544301364597,1.4968136684337405,Red,Red,lime,Rose,Pink
44,,£6-£10,,Rose Wine,Price Bracket,10.83,0.0,8.31,0.0,Blueprint Café,January,76.73130193905817,0.0,-10.83,-8.31,-76.73130193905817,-100.0,-100.0,-100.0,Red,Red,Red,Rose,Pink
45,,<£6,,Fortified Wine,Price Bracket,25.0,5.0,19.67,3.9,Blueprint Café,January,78.68,78.0,-20.0,-15.770000000000001,-0.6800000000000068,-80.0,-80.17285205897305,-0.8642602948652857,Red,Red,Red,Fortified,Orange
46,,£6-£10,,Fortified Wine,Price Bracket,6.67,20.0,5.22,15.56,Blueprint Café,January,78.26086956521738,77.8,13.33,10.34,-0.4608695652173793,199.85007496251873,198.08429118773947,-0.5888888888888737,lime,lime,Red,Fortified,Orange
47,,£6-£10,,Sweet Wine,Price Bracket,52.5,23.33,40.87,13.83,Blueprint Café,January,77.84761904761905,59.279897128161174,-29.17,-27.04,-18.567721919457874,-55.56190476190477,-66.16099828725227,-23.851367770284764,Red,Red,Red,Sweet,Orange
48,,£6-£10,,Spirits,Price Bracket,17.62,14.53,13.979999999999999,12.23,Blueprint Café,January,79.34165720771848,84.17068134893326,-3.0900000000000016,-1.7499999999999982,4.829024141214774,-17.53688989784337,-12.517882689556497,6.086366621473843,Red,Red,lime,Spirits,Grey
49,,£10-£15,,Spirits,Price Bracket,451.45000000000005,217.34000000000003,372.0,180.27,Blueprint Café,January,82.40115184405803,82.94377473083647,-234.11,-191.73,0.5426228867784317,-51.85734854358179,-51.54032258064516,0.6585137156885027,Red,Red,lime,Spirits,Grey
50,,£15-£20,,Spirits,Price Bracket,190.66,66.81,150.52,51.48,Blueprint Café,January,78.94681632224903,77.05433318365513,-123.85,-99.04000000000002,-1.892483138593903,-64.95856498478967,-65.79856497475419,-2.3971620728429013,Red,Red,Red,Spirits,Grey
51,,£20+,,Spirits,Price Bracket,297.0,355.64000000000004,220.56,266.75,Blueprint Café,January,74.26262626262627,75.00562366437971,58.64000000000004,46.19,0.742997401753442,19.744107744107758,20.94214726151614,1.0004997656908428,lime,lime,lime,Spirits,Grey
52,,<£6,,Beer,Price Bracket,516.25,528.3299999999999,384.94,393.31,Blueprint Café,January,74.56464891041162,74.44400280127952,12.079999999999927,8.370000000000005,-0.12064610913209606,2.3399515738498646,2.174364836078351,-0.16180068020846,lime,lime,Red,Beer,Brown
53,,<£6,,Soft Drinks,Price Bracket,1368.6599999999999,1154.7599999999998,1164.6599999999999,978.55,Blueprint Café,January,85.0949103502696,84.74055214936438,-213.9000000000001,-186.1099999999999,-0.3543582009052244,-15.628424882732023,-15.97977092026857,-0.41642702183550945,Red,Red,Red,Soft drinks,Brown
0,,,Beverage,Summary,Summary,156971.40999999995,202070.27999999994,119706.74000000003,154932.17999999993,Bluebird Restaurant,January,76.26021834167132,76.67242307973244,45098.869999999995,35225.4399999999,0.4122047380611207,28.730626806499355,29.42644666457368,0.5405239416104284,lime,lime,lime,Beverage,Black
1,,,Wine,Summary,Summary,66344.48000000001,94016.21999999999,48545.810000000005,68646.72,Bluebird Restaurant,January,73.17234229584737,73.01582641803725,27671.739999999976,20100.909999999996,-0.1565158778101221,41.70918213542404,41.406065734612305,-0.2139003247665677,lime,lime,Red,Wine,Purple
2,,,Spirits,Summary,Summary,66456.56000000001,73955.81999999996,52242.64000000001,59038.630000000034,Bluebird Restaurant,January,78.61171267366231,79.82959285692466,7499.259999999951,6795.990000000027,1.217880183262352,11.284454085495774,13.008511820995313,1.5492350208907035,lime,lime,lime,Spirits,Grey
3,,,Beer,Summary,Summary,10885.99,10188.75,8656.720000000001,8072.119999999999,Bluebird Restaurant,January,79.5216604093886,79.22581278370751,-697.2399999999998,-584.6000000000022,-0.29584762568109113,-6.4049296389212165,-6.753135136633761,-0.37203401457920554,Red,Red,Red,Beer,Brown
4,,,Soft Drinks,Summary,Summary,13284.380000000001,23907.489999999998,10261.569999999998,19173.149999999998,Bluebird Restaurant,January,77.24538141787572,80.19725199090327,10623.109999999997,8911.58,2.9518705730275485,79.96692355984996,86.84421584611324,3.82142015334064,lime,lime,lime,Soft drinks,Brown
5,White Wine,,,Wine,Category,18440.769999999997,30941.120000000003,14423.98,24681.080000000005,Bluebird Restaurant,January,78.21788352655558,79.76789463341987,12500.350000000006,10257.100000000006,1.5500111068642894,67.78648613913631,71.11144080898619,1.9816582052339073,lime,lime,lime,White,Gold
6,Red Wine,,,Wine,Category,9122.08,20867.53,6973.31,16283.259999999998,Bluebird Restaurant,January,76.44429779173171,78.03156386980154,11745.449999999999,9309.949999999997,1.587266078069831,128.75846298212687,133.5083339188993,2.0763694924561285,lime,lime,lime,Red,Red
7,Sparkling Wine,,,Wine,Category,35048.299999999996,35825.41,24129.62,22727.940000000002,Bluebird Restaurant,January,68.84676289577526,63.44083710416712,777.1100000000079,-1401.6799999999967,-5.405925791608134,2.217254474539444,-5.8089601079502975,-7.852113250105859,lime,Red,Red,Sparkling,Yellow
8,Rose Wine,,,Wine,Category,3305.0,5537.58,2675.39,4348.82,Bluebird Restaurant,January,80.94977307110437,78.5328609248083,2232.58,1673.4299999999998,-2.4169121462960703,67.55158850226928,62.54901154598021,-2.985693541318654,lime,lime,Red,Rose,Pink
9,Sweet Wine,,,Wine,Category,193.32999999999998,439.58,149.32000000000002,343.92,Bluebird Restaurant,January,77.2358144105933,78.23831839483144,246.25,194.6,1.0025039842381318,127.3728857394093,130.32413608357888,1.2979781360350788,lime,lime,lime,Sweet,Orange
10,Fortified Wine,,,Wine,Category,235.0,242.5,194.19,193.2,Bluebird Restaurant,January,82.63404255319149,79.67010309278349,7.5,-0.9900000000000091,-2.9639394604079996,3.1914893617021276,-0.5098099799165813,-3.5868261661047423,lime,Red,Red,Fortified,Orange
11,Fine Wine,,,Wine,Category,0.0,162.5,0.0,68.5,Bluebird Restaurant,January,0.0,42.15384615384615,162.5,68.5,42.15384615384615,100.0,100.0,100.0,lime,lime,lime,Fine Wine,Purple
12,Vodka,,,Spirits,Category,21605.69,23015.269999999997,17390.19,18642.140000000007,Bluebird Restaurant,January,80.48893601639197,80.99900631189645,1409.579999999998,1251.950000000008,0.5100702955044767,6.524114712374371,7.1991737870604515,0.6337147945409519,lime,lime,lime,Spirits,Grey
13,Gin,,,Spirits,Category,16658.75,19794.769999999997,13077.69,15913.400000000001,Bluebird Restaurant,January,78.5034291288362,80.3919419119293,3136.019999999997,2835.710000000001,1.8885127830930912,18.82506190440457,21.683569498894688,2.4056436821297975,lime,lime,lime,Spirits,Grey
14,Whiskey,,,Spirits,Category,7475.97,7673.200000000001,5780.7,5913.84,Bluebird Restaurant,January,77.32374527987672,77.07136527133399,197.23000000000047,133.14000000000033,-0.2523800085427297,2.638186081538589,2.3031812756240653,-0.3263939267675525,lime,lime,Red,Spirits,Grey
15,Rum,,,Spirits,Category,3619.08,3458.18,2883.6099999999997,2802.3,Bluebird Restaurant,January,79.67798446013903,81.03395427652697,-160.9000000000001,-81.30999999999949,1.3559698163879403,-4.44588127369387,-2.819729436366204,1.7018123959527356,Red,Red,lime,Spirits,Grey
16,Tequila,,,Spirits,Category,7116.2300000000005,7532.72,5229.900000000001,5782.41,Bluebird Restaurant,January,73.49256558599147,76.76390467188479,416.4899999999998,552.5099999999993,3.2713390858933167,5.852677611600521,10.564446738943369,4.451251714795043,lime,lime,lime,Spirits,Grey
17,Liqueurs,,,Spirits,Category,6593.839999999999,6584.000000000002,5214.110000000001,5307.419999999999,Bluebird Restaurant,January,79.07547043907648,80.61087484811661,-9.839999999997417,93.30999999999858,1.535404409040126,-0.1492301906020986,1.7895671552767123,1.9416949409400919,Red,lime,lime,Spirits,Grey
18,Aperitif/Mart,,,Spirits,Category,2135.0899999999997,2443.9799999999996,1713.3600000000001,1954.3000000000002,Bluebird Restaurant,January,80.2476710583629,79.96382949123972,308.8899999999999,240.94000000000005,-0.28384156712317576,14.467305827857368,14.062427043937062,-0.3537069218080387,lime,lime,Red,Spirits,Grey
19,Digestif,,,Spirits,Category,355.09999999999997,1658.65,268.86,1321.7300000000002,Bluebird Restaurant,January,75.71388341312307,79.68709492659694,1303.5500000000002,1052.8700000000003,3.9732115134738706,367.0937764010139,391.60529643680735,5.247665730992232,lime,lime,lime,Spirits,Grey
20,Other,,,Spirits,Category,896.81,1795.05,684.2200000000001,1401.09,Bluebird Restaurant,January,76.29486736320962,78.05297902565388,898.24,716.8699999999998,1.7581116624442643,100.1594540649636,104.7718570050568,2.3043642687975217,lime,lime,lime,Spirits,Grey
21,Bottled,,,Beer,Category,10597.66,9779.59,8425.300000000001,7745.7699999999995,Bluebird Restaurant,January,79.50151259806411,79.20342263837236,-818.0699999999997,-679.5300000000016,-0.298089959691751,-7.719345591385266,-8.06535078869597,-0.3749487902183758,Red,Red,Red,Beer,Brown
22,Ale,,,Beer,Category,0.0,173.32999999999998,0.0,138.16000000000003,Bluebird Restaurant,January,0.0,79.70922517740729,173.32999999999998,138.16000000000003,79.70922517740729,100.0,100.0,100.0,lime,lime,lime,Beer,Brown
23,Cider Bottled,,,Beer,Category,288.33,235.83,231.42,188.19,Bluebird Restaurant,January,80.26219956300072,79.79900775982699,-52.49999999999997,-43.22999999999999,-0.46319180317372854,-18.20830298616168,-18.68032149338864,-0.5770983173843278,Red,Red,Red,Beer,Brown
24,Water,,,Soft Drinks,Category,0.0,7645.0,0.0,6658.299999999999,Bluebird Restaurant,January,0.0,87.0935251798561,7645.0,6658.299999999999,87.0935251798561,100.0,100.0,100.0,lime,lime,lime,Soft drinks,Brown
25,Sodas,,,Soft Drinks,Category,10119.460000000001,11256.889999999998,7761.26,8517.8,Bluebird Restaurant,January,76.69638498496954,75.66743567717195,1137.4299999999967,756.539999999999,-1.028949307797589,11.240026641737765,9.747644068102332,-1.3415877527985653,lime,lime,Red,Soft drinks,Brown
26,Juice,,,Soft Drinks,Category,1638.73,1687.4800000000005,1331.25,1335.46,Bluebird Restaurant,January,81.23668938751351,79.13930831772818,48.750000000000455,4.210000000000036,-2.097381069785328,2.974864681796297,0.3162441314554018,-2.581815046376947,lime,lime,Red,Soft drinks,Brown
27,Syrups,,,Soft Drinks,Category,674.4000000000001,984.54,528.47,790.77,Bluebird Restaurant,January,78.3615065243179,80.31872752757633,310.1399999999999,262.29999999999995,1.9572210032584252,45.987544483985744,49.63384865744507,2.4976816935634605,lime,lime,lime,Soft drinks,Brown
28,Purees,,,Soft Drinks,Category,0.0,496.36,0.0,392.88,Bluebird Restaurant,January,0.0,79.15222822145218,496.36,392.88,79.15222822145218,100.0,100.0,100.0,lime,lime,lime,Soft drinks,Brown
29,Soft Drinks,,,Soft Drinks,Category,113.83999999999999,81.25,83.13,60.95,Bluebird Restaurant,January,73.02354181307098,75.01538461538462,-32.58999999999999,-22.179999999999993,1.9918428023136414,-28.627898805340823,-26.681101888608193,2.7276721353949833,Red,Red,lime,Soft drinks,Brown
