,SiteName,2019,2020,Shift,Area,Measure,Year Change,% Change,Colour,Table,GenericLocation,RevenueType,LocationName,Day,OrdDay,OrdSession,Session,DaySession,Colour_TY,Colour_LY,Colour_CHG,Count,Average_TY,Average_LY,Average_Year Change,Average_% Change,Average_Colour
1903,Group,3233.39,0.0,,,Revenue,-3233.39,-100.0,Red,Daily,Events & Ex Hires,Food,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,0.0,3233.39,-3233.39,-100.0,salmon
1904,Group,3460.84,0.0,,,Revenue,-3460.84,-100.0,Red,Daily,Events & Ex Hires,Non-Wine,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,0.0,3460.84,-3460.84,-100.0,salmon
1905,Group,3844.2500000000005,0.0,,,Revenue,-3844.2500000000005,-100.0,Red,Daily,Events & Ex Hires,Total,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,0.0,3844.2500000000005,-3844.2500000000005,-100.0,salmon
1906,Group,383.41,0.0,,,Revenue,-383.41,-100.0,Red,Daily,Events & Ex Hires,Wine,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,0.0,383.41,-383.41,-100.0,salmon
1907,Group,0.0,218.10999999999999,,,Revenue,218.10999999999999,100.0,lime,Daily,Events & Ex Hires,Beverage,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,218.10999999999999,0.0,218.10999999999999,100.0,lime
1908,Group,0.0,-2.56,,,Revenue,-2.56,-inf,Red,Daily,Events & Ex Hires,Discounts,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,salmon,1.0,-2.56,0.0,-2.56,-inf,salmon
1909,Group,0.0,435.77,,,Revenue,435.77,100.0,lime,Daily,Events & Ex Hires,Food,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,435.77,0.0,435.77,100.0,lime
1910,Group,0.0,482.99,,,Revenue,482.99,100.0,lime,Daily,Events & Ex Hires,Non-Wine,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,482.99,0.0,482.99,100.0,lime
1911,Group,0.0,651.32,,,Revenue,651.32,100.0,lime,Daily,Events & Ex Hires,Total,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,651.32,0.0,651.32,100.0,lime
1912,Group,0.0,168.32999999999998,,,Revenue,168.32999999999998,100.0,lime,Daily,Events & Ex Hires,Wine,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,168.32999999999998,0.0,168.32999999999998,100.0,lime
1913,Group,6163.71,5156.300000000001,,,Revenue,-1007.409999999999,-16.34421476675572,Red,Daily,Events & Ex Hires,Beverage,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,5156.300000000001,6163.71,-1007.409999999999,-16.34421476675572,red
1914,Group,7171.62,7467.14,,,Revenue,295.52000000000044,4.120686818319995,lime,Daily,Events & Ex Hires,Food,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,limegreen,1.0,7467.14,7171.62,295.52000000000044,4.120686818319995,limegreen
1915,Group,10141.99,8232.98,,,Revenue,-1909.0100000000002,-18.822834571913404,Red,Daily,Events & Ex Hires,Non-Wine,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,8232.98,10141.99,-1909.0100000000002,-18.822834571913404,red
1916,Group,13335.33,12623.440000000002,,,Revenue,-711.8899999999976,-5.338375578257138,Red,Daily,Events & Ex Hires,Total,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,12623.440000000002,13335.33,-711.8899999999976,-5.338375578257138,red
1917,Group,3193.34,4390.46,,,Revenue,1197.12,37.48802194567443,lime,Daily,Events & Ex Hires,Wine,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,limegreen,1.0,4390.46,3193.34,1197.12,37.48802194567443,limegreen
1918,Group,1717.29,8217.060000000001,,,Revenue,6499.770000000001,378.48994636898846,lime,Daily,Events & Ex Hires,Beverage,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,8217.060000000001,1717.29,6499.770000000001,378.48994636898846,limegreen
1919,Group,5072.7,9615.740000000002,,,Revenue,4543.040000000002,89.55861769866151,lime,Daily,Events & Ex Hires,Food,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,9615.740000000002,5072.7,4543.040000000002,89.55861769866151,limegreen
1920,Group,6329.16,13173.600000000002,,,Revenue,6844.440000000002,108.1413647308648,lime,Daily,Events & Ex Hires,Non-Wine,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,13173.600000000002,6329.16,6844.440000000002,108.1413647308648,limegreen
1921,Group,6789.99,17832.8,,,Revenue,11042.81,162.63367103633436,lime,Daily,Events & Ex Hires,Total,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,17832.8,6789.99,11042.81,162.63367103633436,limegreen
1922,Group,460.83,4659.2,,,Revenue,4198.37,911.0452878501834,lime,Daily,Events & Ex Hires,Wine,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,4659.2,460.83,4198.37,911.0452878501834,limegreen
1923,Group,2212.48,1652.29,,,Revenue,-560.19,-25.31955091119468,Red,Daily,Events & Ex Hires,Beverage,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,1652.29,2212.48,-560.19,-25.31955091119468,red
1924,Group,4427.25,1824.17,,,Revenue,-2603.08,-58.796770003952794,Red,Daily,Events & Ex Hires,Food,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,1824.17,4427.25,-2603.08,-58.796770003952794,red
1925,Group,6211.370000000001,3326.46,,,Revenue,-2884.9100000000008,-46.44563115705553,Red,Daily,Events & Ex Hires,Non-Wine,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,3326.46,6211.370000000001,-2884.9100000000008,-46.44563115705553,red
1926,Group,6639.7300000000005,3476.46,,,Revenue,-3163.2700000000004,-47.64154566526049,Red,Daily,Events & Ex Hires,Total,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,3476.46,6639.7300000000005,-3163.2700000000004,-47.64154566526049,red
1927,Group,428.36,150.0,,,Revenue,-278.36,-64.98272481090672,Red,Daily,Events & Ex Hires,Wine,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,150.0,428.36,-278.36,-64.98272481090672,red
1928,Group,17737.609999999997,26344.25,,,Revenue,8606.640000000003,48.5219823865786,lime,Daily,Events & Ex Hires,Beverage,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,26344.25,17737.609999999997,8606.640000000003,48.5219823865786,limegreen
1929,Group,8237.86,22953.940000000002,,,Revenue,14716.080000000002,178.63959814806273,lime,Daily,Events & Ex Hires,Food,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,22953.940000000002,8237.86,14716.080000000002,178.63959814806273,limegreen
1930,Group,19244.66,27611.899999999998,,,Revenue,8367.239999999998,43.478242795663824,lime,Daily,Events & Ex Hires,Non-Wine,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,27611.899999999998,19244.66,8367.239999999998,43.478242795663824,limegreen
1931,Group,25975.47,49298.19,,,Revenue,23322.72,89.78748026503467,lime,Daily,Events & Ex Hires,Total,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,49298.19,25975.47,23322.72,89.78748026503467,limegreen
1932,Group,6730.8099999999995,21686.29,,,Revenue,14955.480000000001,222.19435699418054,lime,Daily,Events & Ex Hires,Wine,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,21686.29,6730.8099999999995,14955.480000000001,222.19435699418054,limegreen
1933,Group,820.9899999999999,31.87,,,Revenue,-789.1199999999999,-96.118101316703,Red,Daily,Events & Ex Hires,Beverage,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,31.87,820.9899999999999,-789.1199999999999,-96.118101316703,red
1934,Group,1430.84,258.33,,,Revenue,-1172.51,-81.94557043415057,Red,Daily,Events & Ex Hires,Food,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,258.33,1430.84,-1172.51,-81.94557043415057,red
1935,Group,1715.1799999999998,290.2,,,Revenue,-1424.9799999999998,-83.08049300948005,Red,Daily,Events & Ex Hires,Non-Wine,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,290.2,1715.1799999999998,-1424.9799999999998,-83.08049300948005,red
1936,Group,2251.83,290.2,,,Revenue,-1961.6299999999999,-87.11270388972524,Red,Daily,Events & Ex Hires,Total,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,290.2,2251.83,-1961.6299999999999,-87.11270388972524,red
1937,Group,536.65,0.0,,,Revenue,-536.65,-100.0,Red,Daily,Events & Ex Hires,Wine,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,0.0,536.65,-536.65,-100.0,red
1938,Group,9664.260000000002,10406.640000000001,,,Revenue,742.3799999999992,7.681705583252096,lime,Daily,Full Site,Beverage,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,lime,1.0,10406.640000000001,9664.260000000002,742.3799999999992,7.681705583252096,lime
1939,Group,-796.7,-1322.5000000000002,,,Revenue,-525.8000000000002,65.99723860926323,Red,Daily,Full Site,Discounts,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,-1322.5000000000002,-796.7,-525.8000000000002,65.99723860926323,salmon
1940,Group,22952.6,22710.870000000003,,,Revenue,-241.72999999999593,-1.0531704469210283,Red,Daily,Full Site,Food,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,22710.870000000003,22952.6,-241.72999999999593,-1.0531704469210283,salmon
1941,Group,4883.09,5504.38,,,Revenue,621.29,12.723296109635495,lime,Daily,Full Site,Non-Wine,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,lime,1.0,5504.38,4883.09,621.29,12.723296109635495,lime
1942,Group,31820.159999999993,31795.01,,,Revenue,-25.14999999999418,-0.07903794324099622,Red,Daily,Full Site,Total,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,31795.01,31820.159999999993,-25.14999999999418,-0.07903794324099622,salmon
1943,Group,4781.17,4902.26,,,Revenue,121.09000000000015,2.5326436834498702,lime,Daily,Full Site,Wine,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,lime,1.0,4902.26,4781.17,121.09000000000015,2.5326436834498702,lime
1944,Group,15888.310000000001,13010.149999999996,,,Revenue,-2878.1600000000053,-18.11495369866276,Red,Daily,Full Site,Beverage,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,salmon,1.0,13010.149999999996,15888.310000000001,-2878.1600000000053,-18.11495369866276,salmon
1945,Group,-783.15,-355.06,,,Revenue,428.09,-54.66258060397114,lime,Daily,Full Site,Discounts,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,lime,1.0,-355.06,-783.15,428.09,-54.66258060397114,lime
1946,Group,35196.93,39282.39999999999,,,Revenue,4085.4699999999866,11.607461218918772,lime,Daily,Full Site,Food,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,lime,1.0,39282.39999999999,35196.93,4085.4699999999866,11.607461218918772,lime
1947,Group,8306.35,6423.550000000001,,,Revenue,-1882.7999999999993,-22.66699573218079,Red,Daily,Full Site,Non-Wine,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,salmon,1.0,6423.550000000001,8306.35,-1882.7999999999993,-22.66699573218079,salmon
1948,Group,50302.09000000001,51937.490000000005,,,Revenue,1635.3999999999942,3.251157158678683,lime,Daily,Full Site,Total,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,lime,1.0,51937.490000000005,50302.09000000001,1635.3999999999942,3.251157158678683,lime
1949,Group,7581.959999999999,6586.599999999999,,,Revenue,-995.3599999999997,-13.128003840695543,Red,Daily,Full Site,Wine,,Tuesday,2_Tuesday,2.0,Lunch,Tuesday Lunch,steelblue,powderblue,salmon,1.0,6586.599999999999,7581.959999999999,-995.3599999999997,-13.128003840695543,salmon
1950,Group,21461.110000000004,14462.689999999999,,,Revenue,-6998.4200000000055,-32.609776474749,Red,Daily,Full Site,Beverage,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,salmon,1.0,14462.689999999999,21461.110000000004,-6998.4200000000055,-32.609776474749,salmon
1951,Group,-836.5699999999999,-778.8499999999999,,,Revenue,57.72000000000003,-6.899601946041578,lime,Daily,Full Site,Discounts,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,lime,1.0,-778.8499999999999,-836.5699999999999,57.72000000000003,-6.899601946041578,lime
1952,Group,38030.840000000004,31065.540000000008,,,Revenue,-6965.299999999996,-18.314872876854665,Red,Daily,Full Site,Food,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,salmon,1.0,31065.540000000008,38030.840000000004,-6965.299999999996,-18.314872876854665,salmon
1953,Group,13544.430000000002,7762.72,,,Revenue,-5781.710000000002,-42.68699384174898,Red,Daily,Full Site,Non-Wine,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,salmon,1.0,7762.72,13544.430000000002,-5781.710000000002,-42.68699384174898,salmon
1954,Group,58655.37999999999,44749.37999999998,,,Revenue,-13906.000000000007,-23.707970181081446,Red,Daily,Full Site,Total,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,salmon,1.0,44749.37999999998,58655.37999999999,-13906.000000000007,-23.707970181081446,salmon
1955,Group,7916.679999999999,6699.97,,,Revenue,-1216.7099999999991,-15.368942536517824,Red,Daily,Full Site,Wine,,Wednesday,3_Wednesday,2.0,Lunch,Wednesday Lunch,steelblue,powderblue,salmon,1.0,6699.97,7916.679999999999,-1216.7099999999991,-15.368942536517824,salmon
1956,Group,28446.419999999995,17032.28,,,Revenue,-11414.139999999996,-40.12504912744731,Red,Daily,Full Site,Beverage,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,17032.28,28446.419999999995,-11414.139999999996,-40.12504912744731,salmon
1957,Group,-638.18,-1280.3700000000001,,,Revenue,-642.1900000000002,100.62834936851675,Red,Daily,Full Site,Discounts,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,-1280.3700000000001,-638.18,-642.1900000000002,100.62834936851675,salmon
1958,Group,46590.04,47244.78,,,Revenue,654.739999999998,1.4053218241495349,lime,Daily,Full Site,Food,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,lime,1.0,47244.78,46590.04,654.739999999998,1.4053218241495349,lime
1959,Group,12978.239999999998,8213.01,,,Revenue,-4765.229999999998,-36.71707411790812,Red,Daily,Full Site,Non-Wine,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,8213.01,12978.239999999998,-4765.229999999998,-36.71707411790812,salmon
1960,Group,74398.27999999998,62996.68999999999,,,Revenue,-11401.589999999997,-15.325072031235129,Red,Daily,Full Site,Total,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,62996.68999999999,74398.27999999998,-11401.589999999997,-15.325072031235129,salmon
1961,Group,15468.18,8819.27,,,Revenue,-6648.91,-42.984436436607275,Red,Daily,Full Site,Wine,,Thursday,4_Thursday,2.0,Lunch,Thursday Lunch,steelblue,powderblue,salmon,1.0,8819.27,15468.18,-6648.91,-42.984436436607275,salmon
1962,Group,33006.4,37858.35999999999,,,Revenue,4851.959999999992,14.700058170536598,lime,Daily,Full Site,Beverage,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,37858.35999999999,33006.4,4851.959999999992,14.700058170536598,lime
1963,Group,-1805.7500000000002,-2481.25,,,Revenue,-675.4999999999998,37.40827910840369,Red,Daily,Full Site,Discounts,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,salmon,1.0,-2481.25,-1805.7500000000002,-675.4999999999998,37.40827910840369,salmon
1964,Group,56909.22999999999,58108.29000000001,,,Revenue,1199.0600000000195,2.106969291273173,lime,Daily,Full Site,Food,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,58108.29000000001,56909.22999999999,1199.0600000000195,2.106969291273173,lime
1965,Group,16186.499999999998,19059.69,,,Revenue,2873.1900000000005,17.750532851450288,lime,Daily,Full Site,Non-Wine,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,19059.69,16186.499999999998,2873.1900000000005,17.750532851450288,lime
1966,Group,88109.88,93485.4,,,Revenue,5375.5199999999895,6.100927614474097,lime,Daily,Full Site,Total,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,93485.4,88109.88,5375.5199999999895,6.100927614474097,lime
1967,Group,16819.899999999998,18798.67,,,Revenue,1978.7700000000004,11.764457577036728,lime,Daily,Full Site,Wine,,Sunday,7_Sunday,2.0,Lunch,Sunday Lunch,steelblue,powderblue,lime,1.0,18798.67,16819.899999999998,1978.7700000000004,11.764457577036728,lime
1968,Group,45978.02,49963.73,,,Revenue,3985.7100000000064,8.668729101427175,lime,Daily,Full Site,Beverage,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,limegreen,1.0,49963.73,45978.02,3985.7100000000064,8.668729101427175,limegreen
1969,Group,-1783.24,-2246.7699999999995,,,Revenue,-463.5299999999995,25.993696866378023,Red,Daily,Full Site,Discounts,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,-2246.7699999999995,-1783.24,-463.5299999999995,25.993696866378023,red
1970,Group,55042.32,41930.07,,,Revenue,-13112.25,-23.822124503472963,Red,Daily,Full Site,Food,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,41930.07,55042.32,-13112.25,-23.822124503472963,red
1971,Group,19436.26,29385.41,,,Revenue,9949.150000000001,51.18860315719178,lime,Daily,Full Site,Non-Wine,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,limegreen,1.0,29385.41,19436.26,9949.150000000001,51.18860315719178,limegreen
1972,Group,99237.09999999999,89647.03000000003,,,Revenue,-9590.069999999963,-9.663795092762651,Red,Daily,Full Site,Total,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,89647.03000000003,99237.09999999999,-9590.069999999963,-9.663795092762651,red
1973,Group,26541.760000000002,20578.32,,,Revenue,-5963.440000000002,-22.46814077137312,Red,Daily,Full Site,Wine,,Monday,1_Monday,3.0,Dinner,Monday Dinner,navy,lightsteelblue,red,1.0,20578.32,26541.760000000002,-5963.440000000002,-22.46814077137312,red
1974,Group,75003.12,67607.58,,,Revenue,-7395.539999999994,-9.86030981111185,Red,Daily,Full Site,Beverage,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,red,1.0,67607.58,75003.12,-7395.539999999994,-9.86030981111185,red
1975,Group,-3007.7899999999995,-1343.8899999999999,,,Revenue,1663.8999999999996,-55.319686547265604,lime,Daily,Full Site,Discounts,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,limegreen,1.0,-1343.8899999999999,-3007.7899999999995,1663.8999999999996,-55.319686547265604,limegreen
1976,Group,81860.75,64921.67000000001,,,Revenue,-16939.079999999987,-20.69255412392384,Red,Daily,Full Site,Food,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,red,1.0,64921.67000000001,81860.75,-16939.079999999987,-20.69255412392384,red
1977,Group,33967.38,29673.1,,,Revenue,-4294.279999999999,-12.642364527378913,Red,Daily,Full Site,Non-Wine,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,red,1.0,29673.1,33967.38,-4294.279999999999,-12.642364527378913,red
1978,Group,153856.08,131185.36,,,Revenue,-22670.72,-14.735017296684019,Red,Daily,Full Site,Total,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,red,1.0,131185.36,153856.08,-22670.72,-14.735017296684019,red
1979,Group,41035.74,37934.48,,,Revenue,-3101.2599999999948,-7.557460886534506,Red,Daily,Full Site,Wine,,Tuesday,2_Tuesday,3.0,Dinner,Tuesday Dinner,navy,lightsteelblue,red,1.0,37934.48,41035.74,-3101.2599999999948,-7.557460886534506,red
1980,Group,78323.43,71822.79,,,Revenue,-6500.639999999999,-8.299738660577045,Red,Daily,Full Site,Beverage,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,71822.79,78323.43,-6500.639999999999,-8.299738660577045,red
1981,Group,-2136.01,-2188.45,,,Revenue,-52.4399999999996,2.4550446861203645,Red,Daily,Full Site,Discounts,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,-2188.45,-2136.01,-52.4399999999996,2.4550446861203645,red
1982,Group,78418.03000000001,63912.270000000004,,,Revenue,-14505.76000000001,-18.497990831955363,Red,Daily,Full Site,Food,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,63912.270000000004,78418.03000000001,-14505.76000000001,-18.497990831955363,red
1983,Group,37870.08999999999,35998.19,,,Revenue,-1871.899999999987,-4.942951020185025,Red,Daily,Full Site,Non-Wine,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,35998.19,37870.08999999999,-1871.899999999987,-4.942951020185025,red
1984,Group,154605.45,133546.61,,,Revenue,-21058.840000000026,-13.62102047502208,Red,Daily,Full Site,Total,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,133546.61,154605.45,-21058.840000000026,-13.62102047502208,red
1985,Group,40453.340000000004,35824.6,,,Revenue,-4628.740000000005,-11.442170164441317,Red,Daily,Full Site,Wine,,Wednesday,3_Wednesday,3.0,Dinner,Wednesday Dinner,navy,lightsteelblue,red,1.0,35824.6,40453.340000000004,-4628.740000000005,-11.442170164441317,red
1986,Group,143838.08000000002,113710.56999999999,,,Revenue,-30127.510000000024,-20.945433921253688,Red,Daily,Full Site,Beverage,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,red,1.0,113710.56999999999,143838.08000000002,-30127.510000000024,-20.945433921253688,red
1987,Group,-3394.11,-2697.05,,,Revenue,697.06,-20.537342631794488,lime,Daily,Full Site,Discounts,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,limegreen,1.0,-2697.05,-3394.11,697.06,-20.537342631794488,limegreen
1988,Group,108098.68000000001,84930.12000000001,,,Revenue,-23168.559999999998,-21.43278715336764,Red,Daily,Full Site,Food,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,red,1.0,84930.12000000001,108098.68000000001,-23168.559999999998,-21.43278715336764,red
1989,Group,78543.46,48481.5,,,Revenue,-30061.960000000006,-38.27430062286536,Red,Daily,Full Site,Non-Wine,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,red,1.0,48481.5,78543.46,-30061.960000000006,-38.27430062286536,red
1990,Group,248542.64999999997,195943.64,,,Revenue,-52599.00999999995,-21.162971425628545,Red,Daily,Full Site,Total,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,red,1.0,195943.64,248542.64999999997,-52599.00999999995,-21.162971425628545,red
1991,Group,65294.61999999998,65229.07,,,Revenue,-65.54999999998108,-0.10039111951333984,Red,Daily,Full Site,Wine,,Thursday,4_Thursday,3.0,Dinner,Thursday Dinner,navy,lightsteelblue,red,1.0,65229.07,65294.61999999998,-65.54999999998108,-0.10039111951333984,red
1992,Group,25641.910000000003,22976.480000000003,,,Revenue,-2665.4300000000003,-10.394818482710532,Red,Daily,Full Site,Beverage,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,22976.480000000003,25641.910000000003,-2665.4300000000003,-10.394818482710532,red
1993,Group,-1432.67,-1755.44,,,Revenue,-322.77,22.529263542895432,Red,Daily,Full Site,Discounts,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,-1755.44,-1432.67,-322.77,22.529263542895432,red
1994,Group,22672.440000000002,26237.300000000003,,,Revenue,3564.8600000000006,15.723318707646818,lime,Daily,Full Site,Food,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,limegreen,1.0,26237.300000000003,22672.440000000002,3564.8600000000006,15.723318707646818,limegreen
1995,Group,15704.380000000005,12239.109999999999,,,Revenue,-3465.270000000006,-22.06562755103993,Red,Daily,Full Site,Non-Wine,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,red,1.0,12239.109999999999,15704.380000000005,-3465.270000000006,-22.06562755103993,red
1996,Group,46881.67999999999,47458.34,,,Revenue,576.6600000000035,1.2300327121383097,lime,Daily,Full Site,Total,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,limegreen,1.0,47458.34,46881.67999999999,576.6600000000035,1.2300327121383097,limegreen
1997,Group,9937.53,10737.37,,,Revenue,799.8400000000001,8.048680104613522,lime,Daily,Full Site,Wine,,Sunday,7_Sunday,3.0,Dinner,Sunday Dinner,navy,lightsteelblue,limegreen,1.0,10737.37,9937.53,799.8400000000001,8.048680104613522,limegreen
1998,Group,41.25,37.5,,,Revenue,-3.75,-9.090909090909092,Red,Daily,PDR,Beverage,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,37.5,41.25,-3.75,-9.090909090909092,salmon
1999,Group,450.0,215.79,,,Revenue,-234.21,-52.04666666666667,Red,Daily,PDR,Food,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,215.79,450.0,-234.21,-52.04666666666667,salmon
2000,Group,491.25,253.29,,,Revenue,-237.96,-48.439694656488555,Red,Daily,PDR,Non-Wine,,Monday,1_Monday,2.0,Lunch,Monday Lunch,steelblue,powderblue,salmon,1.0,253.29,491.25,-237.96,-48.439694656488555,salmon
